r0c0,r0c1,r0c2,r1c0,r1c1,r1c2,r2c0,r2c1,r2c2,shape
3.965248384940967,5.223880597014925,3.564268211182892,4.794210764360018,0.0,4.8168249660786975,3.720204945422143,4.975124378109453,3.5419915348629982,circle
2.7623078636667406,6.331976481230213,3.564268211182892,5.178652193577567,0.0,5.269109000452285,3.6533749164624636,4.997738579828132,7.262196480285142,circle
4.076631766540432,6.42243328810493,3.0073513031855645,4.8168249660786975,0.0,4.590682948891904,5.012252171975941,4.703753957485301,4.722655379817331,circle
4.165738471820005,4.74898236092266,4.989975495656048,4.635911352329263,0.0,4.862053369516056,3.1632880374248162,6.309362279511534,5.970149253731343,circle
4.143461795500111,4.72636815920398,3.4306081532635333,5.06558118498417,0.0,5.970149253731343,3.4751615059033196,5.246494798733605,5.034528848295834,circle
3.675651592782357,5.042966983265491,5.613722432613054,5.291723202170964,0.0,4.884667571234735,3.69792826910225,4.635911352329263,1.7598574292715528,circle
3.564268211182892,5.314337403889643,2.1385609267097347,5.133423790140208,0.0,4.794210764360018,3.9875250612608597,4.635911352329263,3.5419915348629982,circle
6.282022722209845,5.06558118498417,2.82913789262642,5.042966983265491,0.0,4.884667571234735,4.811762085096904,4.771596562641339,3.787034974381822,circle
4.4107819113388285,5.201266395296246,2.517264424147917,5.269109000452285,0.0,4.8394391677973765,1.893517487190911,5.088195386702849,2.6954778347070616,circle
4.767208732457117,4.794210764360018,3.965248384940967,4.72636815920398,0.0,4.8394391677973765,4.700378703497439,6.241519674355495,3.720204945422143,circle
2.3390510135887723,5.336951605608322,2.6063711294274894,5.020352781546811,0.0,5.563093622795115,4.611271998217866,6.196291270918137,4.366228558699042,circle
1.5816440187124081,6.897331524197196,3.3860548006237465,5.178652193577567,0.0,4.952510176390773,1.0024504343951883,4.929895974672094,3.1187346847850304,circle
3.942971708621074,4.997738579828132,5.72510581421252,4.72636815920398,0.0,4.568068747173225,3.8984183559812875,4.794210764360018,5.0568055246157275,circle
13.210069057696591,15.128900949796472,14.903096458008466,19.60651289009498,18.503213957759414,21.59656264133876,24.79394074404099,28.08683853459973,29.873022944976608,circle
14.145689463132099,15.21935775667119,14.680329694809535,20.488466757123476,19.054178145087235,21.98100407055631,27.311205168188906,29.285391225689732,32.590777456003565,circle
15.348629984406326,15.355042966983264,15.237246602806861,20.64676616915423,19.788797061524335,22.478516508367257,27.19982178658944,30.189959294436907,33.370461127199825,circle
15.460013366005793,15.762098597919493,14.390732902650925,20.465852555404794,18.778696051423324,20.98597919493442,24.34840721764313,26.45861601085482,25.217197594118957,circle
15.771886834484295,16.101311623699683,15.905546892403654,20.28493894165536,19.352617079889807,20.669380370872908,23.791490309645802,25.848032564450474,26.553798173312543,circle
18.868344842949433,18.99592944369064,17.46491423479617,24.061510628674807,22.63544536271809,24.762550881953867,32.679884161283134,33.061962912709184,33.54867453775896,circle
16.061483626642907,16.463138851198554,15.59367342392515,20.64676616915423,19.60514233241506,21.506105834464044,26.53152149699265,28.539122568973312,30.118066384495435,circle
16.44018712408109,16.960651289009498,16.462463800400982,20.669380370872908,20.224977043158862,22.63681592039801,26.642904878592116,29.986431478968793,32.501670750723996,circle
15.794163510804188,16.12392582541836,15.259523279126755,19.26729986431479,19.031221303948577,21.483491632745363,25.796391178436178,29.39846223428313,32.90265092448207,circle
15.08130986856761,15.58118498417006,15.148139897527289,18.475802804161013,17.929292929292927,20.94075079149706,24.1256404544442,27.860696517412936,31.209623524170194,circle
14.947649810648251,15.649027589326097,15.415460013366006,18.9280868385346,17.90633608815427,20.850293984622343,24.036533749164622,28.35820895522388,31.165070171530406,circle
17.576297616395635,18.588873812754407,16.039206950323013,24.762550881953867,23.0257116620753,25.508819538670284,33.50412118511918,36.45409317051108,36.221875696146135,circle
17.82134105591446,18.22704658525554,17.108487413677878,24.242424242424242,22.842056932966024,24.830393487109905,31.38783693472934,34.07960199004975,35.30853196703052,circle
16.083760302962798,16.93803708729082,15.950100245043439,20.511080958842154,20.064279155188245,22.25237449118046,26.442414791713077,29.6472184531886,31.721987079527736,circle
16.083760302962798,16.530981456354592,15.816440187124082,20.239710538218,19.97245179063361,21.95838986883763,26.130541323234574,28.471279963817274,30.25172644241479,circle
16.997104032078415,18.294889190411578,17.420360882156384,21.121664405246495,20.500459136822773,22.885572139303484,30.00668300289597,32.83582089552239,33.66005791935843,circle
17.91044776119403,18.88285843509724,18.333704611271997,21.867933061962912,21.53351698806244,23.7449118046133,26.66518155491201,29.782903663500676,32.07841390064603,circle
18.177767877032746,19.470827679782904,18.088661171753174,23.134328358208954,22.31404958677686,24.084124830393485,27.355758520828694,32.632293080054275,33.14769436400089,circle
17.84361773223435,18.95070104025328,17.84361773223435,21.68701944821348,22.01561065197429,23.156942559927636,26.91022499443083,30.370872908186342,30.920026732011586,circle
17.086210737357987,17.526006331976482,16.128313655602582,21.25734961555857,20.293847566574836,21.25734961555857,25.618177767877032,28.697421981004073,28.826019157941634,circle
18.04410781911339,18.65671641791045,18.28915125863221,23.179556761646314,23.255280073461893,23.857982813206693,26.264201381153935,29.036635006784262,31.209623524170194,circle
17.442637558476275,17.028493894165535,17.24214747159724,20.60153776571687,19.398530762167127,21.5513342379014,25.038984183559815,26.571687019448216,29.494319447538427,circle
18.890621519269324,18.88285843509724,17.97727779015371,23.02125734961556,22.750229568411388,23.609226594301223,27.13299175762976,28.87833559475351,30.184896413455114,circle
17.754511026954777,17.526006331976482,16.930274003118733,21.121664405246495,21.418732782369148,22.22976028946178,25.17264424147917,27.860696517412936,29.516596123858317,circle
